top - 14:41:15 up 766 days, 17:32, 12 users,  load average: 0.04, 0.04, 0.01
Tasks: 250 total,   1 running, 225 sleeping,  24 stopped,   0 zombie
Cpu(s):  1.2%us,  1.2%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  12292116k total,  5079644k used,  7212472k free,    80648k buffers
Swap: 14346036k total,  2415116k used, 11930920k free,  3138208k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                                                                                                                                                                        
 6017 davisf    15   0 86228 2764 1956 S  0.0  0.0   0:00.01 bash                                                                                                                                                                                                                                                           
 6229 davisf    16   0 90772 4480 1880 S  0.0  0.0   0:01.69 tcsh                                                                                                                                                                                                                                                           
 6608 root      16   0     0    0    0 S  0.0  0.0   1376:38 pdflush                                                                                                                                                                                                                                                        
 6742 root      20   0     0    0    0 S  0.0  0.0   0:00.00 lockd                                                                                                                                                                                                                                                          
 6762 nagios    15   0 47356 1280 1252 S  0.0  0.0   0:00.01 nrpe                                                                                                                                                                                                                                                           
 6824 finnr     16   0 92972  412  408 S  0.0  0.0   0:00.85 screen                                                                                                                                                                                                                                                         
 6832 finnr     15   0 84836 1320 1316 S  0.0  0.0   0:00.13 bash                                                                                                                                                                                                                                                           
 7469 finnr     15   0 92868  412  408 S  0.0  0.0   0:06.41 screen                                                                                                                                                                                                                                                         
 7470 finnr     15   0 85760 1312 1308 S  0.0  0.0   0:07.51 bash                                                                                                                                                                                                                                                           
 7800 nawrocki  15   0  132m  13m 4400 S  0.0  0.1   0:08.23 emacs-x                                                                                                                                                                                                                                                        
 7833 nawrocki  15   0 86792 2632 1880 S  0.0  0.0   0:00.09 bash                                                                                                                                                                                                                                                           
 8415 rivase    18   0 77872  488  484 T  0.0  0.0   0:00.00 x-ehmmsearch-en                                                                                                                                                                                                                                                
 8426 rivase    18   0 63844  528  524 T  0.0  0.0   0:00.00 sh                                                                                                                                                                                                                                                             
 8431 rivase    18   0  116m  684  680 T  0.0  0.0   0:07.24 ehmmsearch                                                                                                                                                                                                                                                     
 8433 root      15   0  103m 4604 3472 S  0.0  0.0   0:00.02 sshd                                                                                                                                                                                                                                                           
 8435 nawrocki  15   0  104m 2508 1340 S  0.0  0.0   0:00.02 sshd                                                                                                                                                                                                                                                           
 8436 nawrocki  15   0 86864 2824 1980 S  0.0  0.0   0:00.08 bash                                                                                                                                                                                                                                                           
 8493 rivase    15   0 61540  512  508 T  0.0  0.0   0:00.00 more                                                                                                                                                                                                                                                           
 8877 rivase    25   0 26696  724  720 T  0.0  0.0   0:14.21 triomsa                                                                                                                                                                                                                                                        
 9585 root      22   0 1694m 7052 2224 S  0.0  0.1 139:55.20 automount                                                                                                                                                                                                                                                      
10292 rivase    17   0  106m  524  520 T  0.0  0.0   0:00.54 sort                                                                                                                                                                                                                                                           
10293 rivase    25   0  162m  644  640 T  0.0  0.0   2:54.10 rocplot-dom-id.                                                                                                                                                                                                                                                
11017 root      16   0  104m 2144 2140 S  0.0  0.0   0:00.01 sshd                                                                                                                                                                                                                                                           
11019 rivase    15   0  104m  976  972 S  0.0  0.0   0:10.64 sshd                                                                                                                                                                                                                                                           
11020 rivase    15   0 87416 1376 1372 S  0.0  0.0   0:18.57 bash                                                                                                                                                                                                                                                           
11349 swarte    15   0 92944  368  364 S  0.0  0.0   0:00.21 screen                                                                                                                                                                                                                                                         
11350 swarte    15   0 84808 1328 1324 S  0.0  0.0   0:00.24 bash                                                                                                                                                                                                                                                           
11378 nawrocki  15   0 92700  368  364 S  0.0  0.0   0:00.00 screen                                                                                                                                                                                                                                                         
11379 nawrocki  15   0 84300 1312 1308 S  0.0  0.0   0:00.07 bash                                                                                                                                                                                                                                                           
